userid,timestamp,beacon_id,rssi
0,1543090278,6,-89
0,1543090278,5,-88
0,1543090278,9,-82
0,1543090278,6,-89
0,1543090278,5,-88
0,1543090278,11,-85
0,1543090279,3,-94
0,1543090279,11,-89
0,1543090279,12,-88
0,1543090279,3,-94
0,1543090279,12,-92
0,1543090279,11,-89
0,1543090280,10,-95
0,1543090280,3,-94
0,1543090280,8,-90
0,1543090280,10,-95
0,1543090280,5,-92
0,1543090280,3,-90
0,1543090281,10,-95
0,1543090281,12,-93
0,1543090281,5,-91
0,1543090281,10,-95
0,1543090281,12,-93
0,1543090281,3,-91
0,1543090282,10,-95
0,1543090282,12,-95
0,1543090282,6,-88
0,1543090282,10,-95
0,1543090282,4,-93
0,1543090282,8,-90
0,1543090283,10,-95
0,1543090283,5,-90
0,1543090283,4,-89
0,1543090283,10,-95
0,1543090283,3,-92
0,1543090283,5,-90
0,1543090284,10,-95
0,1543090284,5,-90
0,1543090284,4,-85
0,1543090284,10,-95
0,1543090284,5,-88
0,1543090284,12,-86
0,1543090285,8,-90
0,1543090285,10,-86
0,1543090285,12,-86
0,1543090285,10,-91
0,1543090285,11,-91
0,1543090285,12,-86
0,1543090286,3,-94
0,1543090286,10,-91
0,1543090286,4,-90
0,1543090286,3,-94
0,1543090286,11,-90
0,1543090286,4,-89
0,1543090287,11,-90
0,1543090287,10,-88
0,1543090287,8,-87
0,1543090287,10,-94
0,1543090287,9,-91
0,1543090287,11,-90
0,1543090288,10,-94
0,1543090288,9,-91
0,1543090288,8,-87
0,1543090288,10,-94
0,1543090288,1,-88
0,1543090288,9,-88
0,1543090289,11,-94
0,1543090289,10,-93
0,1543090289,1,-88
0,1543090289,11,-94
0,1543090289,10,-93
0,1543090289,1,-88
0,1543090290,10,-93
0,1543090290,4,-93
0,1543090290,5,-88
0,1543090290,4,-93
0,1543090290,8,-92
0,1543090290,9,-89
0,1543090291,11,-94
0,1543090291,4,-93
0,1543090291,8,-92
0,1543090291,11,-94
0,1543090291,4,-93
0,1543090291,8,-92
0,1543090292,8,-92
0,1543090292,4,-92
0,1543090292,11,-89
0,1543090292,3,-93
0,1543090292,11,-89
0,1543090292,10,-87
0,1543090293,3,-93
0,1543090293,8,-91
0,1543090293,11,-89
0,1543090293,3,-93
